State,Total expenditures,student_teacher_ratio,per-pupil_spending,Median_Income,Poverty Rate,Urbanization,Teacher_Salary,Graduation_Rate,Year
Louisiana,9095804993,18.4,11815,52087,19,71.5,1806721077,82.9,2020
Maine,3146735525,12.2,17278,64767,10.9,38.6,692534952,87.4,2020
Maryland,16266422438,14.8,16829,90203,9,85.6,3544400380,86.8,2020
Massachusetts,19741109817,12.8,20337,89645,9.4,91.3,4525538254,89,2020
Michigan,20677524150,17.6,13042,63498,13,73.5,3830766477,82.1,2020
Minnesota,15149927304,16.1,13887,77720,9,71.9,3003029819,83.8,2020
Mississippi,5031068990,14.8,9562,48716,19.6,46.3,1160047356,87.7,2020
Missouri,11845529641,13.2,11622,61847,12.9,69.5,2715297980,89.5,2020
Montana,2135376115,14.0,12371,63249,12.6,53.4,555628425,85.9,2020
Nebraska,4816638050,13.7,13728,66817,9.9,73,1080846655,87.5,2020
Nevada,5570254255,19.5,9592,66274,12.5,94.1,1213542889,82.6,2020
New Hampshire,3233054684,12.1,17383,88465,7.3,58.3,724687575,88.1,2020
New Jersey,32076503727,12.1,21791,89296,9.2,93.8,6794775380,91,2020
New Mexico,4454336723,15.2,11351,53992,18.2,74.5,910768721,76.9,2020
New York,71986490753,12.4,26441,74314,13,87.4,16710721922,83.5,2020
North Carolina,17045627599,15.5,10171,61972,13.6,66.7,3579902798,87.6,2020
North Dakota,1941995548,12.5,14043,66519,10.6,61,437997699,89,2020
Ohio,26344294458,15.9,13502,62262,13.1,76.3,5521570886,84.4,2020
Oklahoma,7403762955,16.2,9325,55826,15.2,64.6,1530045197,80.8,2020
Oregon,9466468168,20.2,13412,71562,11.4,80.5,1549501545,82.6,2020
Pennsylvania,32798981066,13.9,17782,68957,12,76.5,7328412342,87.4,2020
Rhode Island,2748293577,13.4,18535,74008,10.8,91.1,665247349,83.6,2020
South Carolina,10432054584,14.7,11897,59318,13.8,67.9,2369552415,82.2,2020
South Dakota,1710121827,14.1,10463,66143,11.9,57.2,391757796,84.2,2020
Tennessee,11053944892,15.7,10039,59695,13.9,66.2,3020509121,90.4,2020
Texas,69111456289,15.1,10830,66963,13.6,83.7,14077135881,90.3,2020
Utah,6924813790,22.6,8625,79449,8.9,89.8,1315829378,88.2,2020
Vermont,1992746957,10.8,23665,72431,10.2,35.1,495351017,83.1,2020
Virginia,18381447930,14.9,13193,80963,9.9,75.6,4121086415,88.8,2020
Washington,20222620600,18.4,15706,84247,9.8,83.4,4119251104,83,2020
West Virginia,3649050965,14.0,13207,51248,16,44.6,755898692,92.1,2020
Wisconsin,12975670575,14.3,13247,67125,10.4,67.1,2830788047,90.4,2020
Wyoming,1759099221,13,17398,65204,10.1,62,368912324,82.3,2020
